id,tot_claim_cnt_l180d,disb_active_bank_loan_wo_tbc,day_sinlastloan
2925438.0,4.0,700000000.0,34.34647787634259
2925439.0,-3.0,-3.0,-3.0
2925440.0,4.0,700000000.0,34.34647787634259
2925441.0,-3.0,-3.0,-3.0
2925442.0,4.0,700000000.0,34.34647787634259
2925443.0,127.0,4387728730.0,187.3464778763426
2925444.0,-3.0,-3.0,-3.0
2925445.0,1.0,8150077272.0,309.3464778763426
2925446.0,-3.0,-3.0,-3.0
2925447.0,1.0,8150077272.0,309.3464778763426
2925448.0,-3.0,-3.0,-3.0
2925449.0,1.0,8150077272.0,309.3464778763426
2925450.0,-3.0,-3.0,-3.0
2925451.0,1.0,8150077272.0,309.3464778763426
2925452.0,127.0,4387728730.0,187.3464778763426
2925453.0,-3.0,-3.0,-3.0
2925454.0,-3.0,-3.0,-3.0
2925455.0,-3.0,-3.0,-3.0
2925456.0,4.0,1000000000.0,32.34647787634259
2925457.0,-3.0,-3.0,-3.0
2925458.0,4.0,1000000000.0,32.34647787634259
2925459.0,-3.0,-3.0,-3.0
2925460.0,4.0,1000000000.0,32.34647787634259
2925461.0,-3.0,-3.0,-3.0
2925462.0,3.0,-1.0,-1.0
2925463.0,-3.0,-3.0,-3.0
2925464.0,6.0,968214741.0,153.3464778763426
2925465.0,3.0,-1.0,-1.0
2925466.0,4.0,1000000000.0,32.34647787634259
2925467.0,-3.0,-3.0,-3.0
2925468.0,3.0,-1.0,-1.0
2925469.0,-3.0,-3.0,-3.0
2925470.0,-3.0,-3.0,-3.0
2925471.0,-3.0,-3.0,-3.0
2925472.0,6.0,968214741.0,153.3464778763426
2925473.0,3.0,-1.0,-1.0
2925474.0,-3.0,-3.0,-3.0
2925475.0,-3.0,-3.0,-3.0
2925476.0,6.0,968214741.0,153.3464778763426
2925477.0,3.0,-1.0,-1.0
2925478.0,6.0,968214741.0,153.3464778763426
2925479.0,3.0,-1.0,-1.0
2925480.0,3.0,-1.0,-1.0
2925481.0,-3.0,-3.0,-3.0
2925482.0,3.0,-1.0,-1.0
2925483.0,-3.0,-3.0,-3.0
2925484.0,2.0,-1.0,215.3464778763426
2925485.0,2.0,-1.0,215.3464778763426
2925486.0,2.0,3767550595.0,397.3464778763426
2925487.0,-3.0,-3.0,-3.0
2925488.0,-3.0,-3.0,-3.0
2925489.0,-3.0,-3.0,-3.0
2925490.0,2.0,3767550595.0,397.3464778763426
2925491.0,-3.0,-3.0,-3.0
2925492.0,,1374999700.0,184.3464778763426
2925493.0,2.0,3767550595.0,397.3464778763426
2925494.0,-3.0,-3.0,-3.0
2925495.0,13.0,431182433.0,327.3464778763426
2925496.0,-3.0,-3.0,-3.0
2925497.0,2.0,3767550595.0,397.3464778763426
2925498.0,,1374999700.0,184.3464778763426
2925499.0,-3.0,-3.0,-3.0
2925500.0,13.0,431182433.0,327.3464778763426
2925501.0,-3.0,-3.0,-3.0
2925502.0,-3.0,-3.0,-3.0
2925503.0,13.0,431182433.0,327.3464778763426
2925504.0,,1374999700.0,184.3464778763426
2925505.0,-3.0,-3.0,-3.0
2925506.0,13.0,431182433.0,327.3464778763426
2925507.0,,1374999700.0,184.3464778763426
2925508.0,4.0,7045370606.0,581.3464778763426
2925509.0,4.0,7045370606.0,581.3464778763426
2925510.0,4.0,3692414810.0,134.3464778763426
2925511.0,-3.0,-3.0,-3.0
2925512.0,-3.0,-3.0,-3.0
2925513.0,4.0,3692414810.0,134.3464778763426
2925514.0,2.0,41667400.0,708.3464778763426
2925515.0,127.0,4387728730.0,187.3464778763426
2925516.0,2.0,41667400.0,708.3464778763426
2925517.0,-3.0,-3.0,-3.0
2925518.0,-3.0,-3.0,-3.0
2925519.0,-3.0,-3.0,-3.0
2925520.0,1.0,0.0,1384.3464778763425
2925521.0,4.0,7045370606.0,581.3464778763426
2925522.0,1.0,0.0,1384.3464778763425
2925523.0,8.0,-1.0,-1.0
2925524.0,4.0,7045370606.0,581.3464778763426
2925525.0,-3.0,-3.0,-3.0
2925526.0,127.0,4387728730.0,187.3464778763426
2925527.0,8.0,-1.0,-1.0
2925528.0,-3.0,-3.0,-3.0
2925529.0,-3.0,-3.0,-3.0
2925530.0,8.0,-1.0,-1.0
2925531.0,-3.0,-3.0,-3.0
2925532.0,4.0,1000000000.0,32.34647787634259
2925533.0,-3.0,-3.0,-3.0
2925534.0,8.0,-1.0,-1.0
2925535.0,4.0,1000000000.0,32.34647787634259
2925536.0,-3.0,-3.0,-3.0
2925537.0,-3.0,-3.0,-3.0
2925538.0,9.0,136001300.0,57.34647787634259
2925539.0,-3.0,-3.0,-3.0
2925540.0,9.0,136001300.0,57.34647787634259
2925541.0,-3.0,-3.0,-3.0
2925542.0,9.0,136001300.0,57.34647787634259
2925543.0,9.0,136001300.0,57.34647787634259
2925544.0,-3.0,-3.0,-3.0
2925545.0,1.0,1880874400.0,141.3464778763426
2925546.0,-3.0,-3.0,-3.0
2925547.0,-3.0,-3.0,-3.0
2925548.0,1.0,1880874400.0,141.3464778763426
2925549.0,-3.0,-3.0,-3.0
2925550.0,1.0,1880874400.0,141.3464778763426
2925551.0,1.0,0.0,337.3464778763426
2925552.0,1.0,1880874400.0,141.3464778763426
2925553.0,1.0,0.0,337.3464778763426
2925554.0,-3.0,-3.0,-3.0
2925555.0,-3.0,-3.0,-3.0
2925556.0,,-1.0,-1.0
2925557.0,-3.0,-3.0,-3.0
2925558.0,3.0,-1.0,-1.0
2925559.0,-3.0,-3.0,-3.0
2925560.0,,-1.0,-1.0
2925561.0,-3.0,-3.0,-3.0
2925562.0,3.0,-1.0,-1.0
2925563.0,-3.0,-3.0,-3.0
2925564.0,3.0,-1.0,-1.0
2925565.0,,-1.0,-1.0
2925566.0,3.0,-1.0,-1.0
2925567.0,,-1.0,-1.0
2925568.0,-3.0,-3.0,-3.0
2925569.0,-3.0,-3.0,-3.0
2925570.0,6.0,3225259367.0,201.3464778763426
2925571.0,6.0,3225259367.0,201.3464778763426
2925572.0,2.0,639385500.0,62.34647787634259
2925573.0,-3.0,-3.0,-3.0
2925574.0,-3.0,-3.0,-3.0
2925575.0,2.0,639385500.0,62.34647787634259
2925576.0,-3.0,-3.0,-3.0
2925577.0,2.0,639385500.0,62.34647787634259
2925578.0,2.0,639385500.0,62.34647787634259
2925579.0,-3.0,-3.0,-3.0
2925580.0,-3.0,-3.0,-3.0
2925581.0,-3.0,-3.0,-3.0
2925582.0,12.0,11528774954.0,337.3464778763426
2925583.0,7.0,-1.0,99.34647787634259
2925584.0,-3.0,-3.0,-3.0
2925585.0,12.0,11528774954.0,337.3464778763426
2925586.0,7.0,-1.0,99.34647787634259
2925587.0,127.0,4387728730.0,187.3464778763426
2925588.0,2.0,0.0,962.3464778763426
2925589.0,-3.0,-3.0,-3.0
2925590.0,2.0,0.0,962.3464778763426
2925591.0,-3.0,-3.0,-3.0
2925592.0,-3.0,-3.0,-3.0
2925593.0,2.0,0.0,962.3464778763426
2925594.0,-3.0,-3.0,-3.0
2925595.0,2.0,0.0,962.3464778763426
2925596.0,-3.0,-3.0,-3.0
2925597.0,,490874022.0,214.3464778763426
2925598.0,-3.0,-3.0,-3.0
2925599.0,-3.0,-3.0,-3.0
2925600.0,,490874022.0,214.3464778763426
2925601.0,-3.0,-3.0,-3.0
2925602.0,127.0,4387728730.0,187.3464778763426
2925603.0,,490874022.0,214.3464778763426
2925604.0,-3.0,-3.0,-3.0
2925605.0,3.0,11013249426.0,82.34647787634259
2925606.0,,490874022.0,214.3464778763426
2925607.0,3.0,11013249426.0,82.34647787634259
2925608.0,-3.0,-3.0,-3.0
2925609.0,-3.0,-3.0,-3.0
2925610.0,-3.0,-3.0,-3.0
2925611.0,-3.0,-3.0,-3.0
2925612.0,-3.0,-3.0,-3.0
2925613.0,-3.0,-3.0,-3.0
2925614.0,-3.0,-3.0,-3.0
2925615.0,2.0,-1.0,-1.0
2925616.0,-3.0,-3.0,-3.0
2925617.0,2.0,-1.0,-1.0
2925618.0,-3.0,-3.0,-3.0
2925619.0,2.0,-1.0,-1.0
2925620.0,2.0,-1.0,-1.0
2925621.0,-3.0,-3.0,-3.0
2925622.0,-3.0,-3.0,-3.0
2925623.0,4.0,-1.0,-1.0
2925624.0,-3.0,-3.0,-3.0
2925625.0,4.0,-1.0,-1.0
2925626.0,-3.0,-3.0,-3.0
2925627.0,4.0,714833200.0,264.3464778763426
2925628.0,4.0,-1.0,-1.0
2925629.0,4.0,714833200.0,264.3464778763426
2925630.0,4.0,-1.0,-1.0
2925631.0,-3.0,-3.0,-3.0
2925632.0,,-1.0,-1.0
2925633.0,-3.0,-3.0,-3.0
2925634.0,,-1.0,-1.0
2925635.0,-3.0,-3.0,-3.0
2925636.0,,-1.0,-1.0
2925637.0,-3.0,-3.0,-3.0
2925638.0,-3.0,-3.0,-3.0
2925639.0,,-1.0,-1.0
2925640.0,13.0,0.0,41.34647787634259
2925641.0,-3.0,-3.0,-3.0
2925642.0,-3.0,-3.0,-3.0
2925643.0,,591134623.0,205.3464778763426
2925644.0,13.0,0.0,41.34647787634259
2925645.0,-3.0,-3.0,-3.0
2925646.0,-3.0,-3.0,-3.0
2925647.0,,591134623.0,205.3464778763426
2925648.0,-3.0,-3.0,-3.0
2925649.0,-3.0,-3.0,-3.0
2925650.0,2.0,3369374993.0,78.34647787634259
2925651.0,13.0,0.0,41.34647787634259
2925652.0,-3.0,-3.0,-3.0
2925653.0,,591134623.0,205.3464778763426
2925654.0,2.0,3369374993.0,78.34647787634259
2925655.0,13.0,0.0,41.34647787634259
2925656.0,-3.0,-3.0,-3.0
2925657.0,,591134623.0,205.3464778763426
2925658.0,-3.0,-3.0,-3.0
2925659.0,2.0,3369374993.0,78.34647787634259
2925660.0,2.0,3369374993.0,78.34647787634259
2925661.0,9.0,1947640089.0,43.34647787634259
2925662.0,9.0,1947640089.0,43.34647787634259
2925663.0,-3.0,-3.0,-3.0
2925664.0,7.0,0.0,32.34647787634259
2925665.0,-3.0,-3.0,-3.0
2925666.0,7.0,0.0,398.3464778763426
2925667.0,-3.0,-3.0,-3.0
2925668.0,7.0,0.0,32.34647787634259
2925669.0,-3.0,-3.0,-3.0
2925670.0,7.0,0.0,398.3464778763426
2925671.0,-3.0,-3.0,-3.0
2925672.0,7.0,0.0,32.34647787634259
2925673.0,7.0,0.0,398.3464778763426
2925674.0,-3.0,-3.0,-3.0
2925675.0,7.0,0.0,32.34647787634259
2925676.0,7.0,0.0,398.3464778763426
2925677.0,-3.0,-3.0,-3.0
2925678.0,-3.0,-3.0,-3.0
2925679.0,2.0,0.0,962.3464778763426
2925680.0,2.0,0.0,962.3464778763426
2925681.0,-3.0,-3.0,-3.0
2925682.0,-3.0,-3.0,-3.0
2925683.0,-3.0,-3.0,-3.0
2925684.0,,591134623.0,205.3464778763426
2925685.0,-3.0,-3.0,-3.0
2925686.0,,591134623.0,205.3464778763426
2925687.0,7.0,-1.0,110.34647787634259
2925688.0,-3.0,-3.0,-3.0
2925689.0,-3.0,-3.0,-3.0
2925690.0,-3.0,-3.0,-3.0
2925691.0,-3.0,-3.0,-3.0
2925692.0,7.0,-1.0,110.34647787634259
2925693.0,-3.0,-3.0,-3.0
2925694.0,-3.0,-3.0,-3.0
2925695.0,-3.0,-3.0,-3.0
2925696.0,7.0,-1.0,110.34647787634259
2925697.0,-3.0,-3.0,-3.0
2925698.0,-3.0,-3.0,-3.0
2925699.0,7.0,-1.0,110.34647787634259
2925700.0,-3.0,-3.0,-3.0
2925701.0,-3.0,-3.0,-3.0
2925702.0,-3.0,-3.0,-3.0
2925703.0,-3.0,-3.0,-3.0
2925704.0,,-1.0,385.3464778763426
2925705.0,-3.0,-3.0,-3.0
2925706.0,18.0,1162641874.0,55.34647787634259
2925707.0,-3.0,-3.0,-3.0
2925708.0,-3.0,-3.0,-3.0
2925709.0,,-1.0,385.3464778763426
2925710.0,-3.0,-3.0,-3.0
2925711.0,18.0,1162641874.0,55.34647787634259
2925712.0,,-1.0,-1.0
2925713.0,,-1.0,385.3464778763426
2925714.0,,-1.0,-1.0
2925715.0,-3.0,-3.0,-3.0
2925716.0,,-1.0,385.3464778763426
2925717.0,6.0,1361270216.0,449.3464778763426
2925718.0,-3.0,-3.0,-3.0
2925719.0,6.0,1361270216.0,449.3464778763426
2925720.0,2.0,-1.0,-1.0
2925721.0,-3.0,-3.0,-3.0
2925722.0,2.0,-1.0,-1.0
2925723.0,-3.0,-3.0,-3.0
2925724.0,2.0,-1.0,-1.0
2925725.0,7.0,0.0,32.34647787634259
2925726.0,-3.0,-3.0,-3.0
2925727.0,-3.0,-3.0,-3.0
2925728.0,-3.0,-3.0,-3.0
2925729.0,-3.0,-3.0,-3.0
2925730.0,2.0,-1.0,-1.0
2925731.0,7.0,0.0,32.34647787634259
2925732.0,-3.0,-3.0,-3.0
2925733.0,-3.0,-3.0,-3.0
2925734.0,7.0,0.0,32.34647787634259
2925735.0,,-1.0,-1.0
2925736.0,1.0,-1.0,-1.0
2925737.0,-3.0,-3.0,-3.0
2925738.0,26.0,5816891339.0,84.34647787634259
2925739.0,7.0,0.0,32.34647787634259
2925740.0,2.0,1469998800.0,43.34647787634259
2925741.0,,-1.0,-1.0
2925742.0,-3.0,-3.0,-3.0
2925743.0,-3.0,-3.0,-3.0
2925744.0,1.0,-1.0,-1.0
2925745.0,,-1.0,-1.0
2925746.0,26.0,5816891339.0,84.34647787634259
2925747.0,2.0,1469998800.0,43.34647787634259
2925748.0,-3.0,-3.0,-3.0
2925749.0,,-1.0,-1.0
2925750.0,5.0,707319423.0,251.3464778763426
2925751.0,-3.0,-3.0,-3.0
2925752.0,-3.0,-3.0,-3.0
2925753.0,5.0,707319423.0,251.3464778763426
2925754.0,-3.0,-3.0,-3.0
2925755.0,5.0,707319423.0,251.3464778763426
2925756.0,-3.0,-3.0,-3.0
2925757.0,5.0,707319423.0,251.3464778763426
2925758.0,-3.0,-3.0,-3.0
2925759.0,2.0,-1.0,-1.0
2925760.0,-3.0,-3.0,-3.0
2925761.0,-3.0,-3.0,-3.0
2925762.0,2.0,-1.0,-1.0
2925763.0,-3.0,-3.0,-3.0
2925764.0,3.0,411000000.0,28.346477876342593
2925765.0,3.0,-1.0,-1.0
2925766.0,-3.0,-3.0,-3.0
2925767.0,2.0,-1.0,-1.0
2925768.0,-3.0,-3.0,-3.0
2925769.0,3.0,411000000.0,28.346477876342593
2925770.0,-3.0,-3.0,-3.0
2925771.0,2.0,-1.0,-1.0
2925772.0,3.0,0.0,1728.3464778763425
2925773.0,3.0,-1.0,-1.0
2925774.0,-3.0,-3.0,-3.0
2925775.0,-3.0,-3.0,-3.0
2925776.0,3.0,411000000.0,28.346477876342593
2925777.0,-3.0,-3.0,-3.0
2925778.0,-3.0,-3.0,-3.0
2925779.0,3.0,0.0,1728.3464778763425
2925780.0,-3.0,-3.0,-3.0
2925781.0,3.0,411000000.0,28.346477876342593
2925782.0,-3.0,-3.0,-3.0
2925783.0,3.0,-1.0,-1.0
2925784.0,-3.0,-3.0,-3.0
2925785.0,3.0,0.0,1728.3464778763425
2925786.0,3.0,-1.0,-1.0
2925787.0,3.0,0.0,1728.3464778763425
2925788.0,,196974000.0,327.3464778763426
2925789.0,-3.0,-3.0,-3.0
2925790.0,,196974000.0,327.3464778763426
2925791.0,-3.0,-3.0,-3.0
2925792.0,8.0,-1.0,79.34647787634259
2925793.0,,196974000.0,327.3464778763426
2925794.0,-3.0,-3.0,-3.0
2925795.0,,196974000.0,327.3464778763426
2925796.0,8.0,-1.0,79.34647787634259
2925797.0,-3.0,-3.0,-3.0
2925798.0,-3.0,-3.0,-3.0
2925799.0,-3.0,-3.0,-3.0
2925800.0,8.0,-1.0,79.34647787634259
2925801.0,8.0,-1.0,79.34647787634259
2925802.0,2.0,-1.0,-1.0
2925803.0,-3.0,-3.0,-3.0
2925804.0,-3.0,-3.0,-3.0
2925805.0,-3.0,-3.0,-3.0
2925806.0,2.0,-1.0,-1.0
2925807.0,-3.0,-3.0,-3.0
2925808.0,-3.0,-3.0,-3.0
2925809.0,-3.0,-3.0,-3.0
2925810.0,2.0,-1.0,-1.0
2925811.0,-3.0,-3.0,-3.0
2925812.0,2.0,-1.0,-1.0
2925813.0,-3.0,-3.0,-3.0
2925814.0,-3.0,-3.0,-3.0
2925815.0,-3.0,-3.0,-3.0
2925816.0,-3.0,-3.0,-3.0
2925817.0,4.0,1121317.0,98.34647787634259
2925818.0,-3.0,-3.0,-3.0
2925819.0,,-1.0,-1.0
2925820.0,4.0,1121317.0,98.34647787634259
2925821.0,-3.0,-3.0,-3.0
2925822.0,-3.0,-3.0,-3.0
2925823.0,,-1.0,-1.0
2925824.0,-3.0,-3.0,-3.0
2925825.0,-3.0,-3.0,-3.0
2925826.0,-3.0,-3.0,-3.0
2925827.0,4.0,1121317.0,98.34647787634259
2925828.0,,-1.0,-1.0
2925829.0,-3.0,-3.0,-3.0
2925830.0,4.0,1121317.0,98.34647787634259
2925831.0,,-1.0,-1.0
2925832.0,,-1.0,-1.0
2925833.0,-3.0,-3.0,-3.0
2925834.0,,-1.0,-1.0
2925835.0,,-1.0,-1.0
2925836.0,-3.0,-3.0,-3.0
2925837.0,,-1.0,-1.0
2925838.0,12.0,953687751.0,102.34647787634259
2925839.0,6.0,426275198.0,167.3464778763426
2925840.0,-3.0,-3.0,-3.0
2925841.0,6.0,426275198.0,167.3464778763426
2925842.0,12.0,953687751.0,102.34647787634259
2925843.0,-3.0,-3.0,-3.0
2925844.0,21.0,1148778676.0,82.34647787634259
2925845.0,12.0,953687751.0,102.34647787634259
2925846.0,-3.0,-3.0,-3.0
2925847.0,21.0,1148778676.0,82.34647787634259
2925848.0,12.0,953687751.0,102.34647787634259
2925849.0,-3.0,-3.0,-3.0
2925850.0,-3.0,-3.0,-3.0
2925851.0,21.0,1148778676.0,82.34647787634259
2925852.0,-3.0,-3.0,-3.0
2925853.0,21.0,1148778676.0,82.34647787634259
2925854.0,2.0,250000000.0,112.34647787634259
2925855.0,-3.0,-3.0,-3.0
